Datetime,Tweet Id,Text,Username
2022-05-31 21:51:40+00:00,1531755315984838657,"#DisneyPlus/#Starwars
A brief story in four acts.
-May 24th. Preemptive strike in case everything goes south.
-May 27th. #Kenobi's Premiere.
-May 27th-28th. Backlash.
-May 31st. Hateful replies cherry picked to kill all the backlash and propel #Disney's false diversity. https://t.co/cUZkK75DTg",j4cksays
2022-05-31 21:51:16+00:00,1531755216336478209,Pinocchio | Teaser Trailer | Disney+ REACTION! https://t.co/eLLuipfLNT via @YouTube #Pinocchio #RobertZemeckis #TomHanks #Disney #DisneyPlus #DisneyPinocchio #JiminyCricket #Geppetto #FilmTwitter #TrailerReaction #MarchioProductions #MarchioReacts https://t.co/vGdIqdatZf,MarchioProd
2022-05-31 21:50:17+00:00,1531754969237540864,Adrienne Warren To Star In “Black Cake” https://t.co/BUMNRGFeAa #disneyplus,rogpalmeruk
2022-05-31 21:49:38+00:00,1531754802354573313,"Pinocchio Remake Gets Poster, Trailer #Pinocchio #Disney #DisneyPlus #TomHanks 

https://t.co/ycpKtMRlKB",GeeksGamersCom
2022-05-31 21:46:21+00:00,1531753977649303552,"This morning on #ABC4 #GoodMorningUtah ... reviews of #VillainsofValleyView, #ultravioletandtheblackscorpion &amp; #Wolfhound

#DisneyChannel #DisneyPlus #Lionsgate #ScarlettEstevez #JRVillarreal @IsabellaPappas1  @jamesmaslow #ScreenChatter

https://t.co/GsKNSeJB0h",TalkingPictures
2022-05-31 21:45:34+00:00,1531753782366769152,#TV #Disney #DisneyPlus #MosesIngram #ObiWanKenobi Star Wars Defends Moses Ingram Following Racist Backlash https://t.co/RbSx0OB3PP,WebPassSocial
2022-05-31 21:42:05+00:00,1531752902729113605,Target run! Finally picked up “The Ronin” for the Star Wars collection!  Love these Pops from the Star Wars short animated stories.  #Funko #StarWars #Disney #DisneyPlus #WildForToys https://t.co/uZciB0XkG4,wildfortoys
2022-05-31 21:39:52+00:00,1531752345662590976,Don’t miss it! #disneyplus @japastu -going to be great! https://t.co/9KJ74vxQqt,coastalent1
2022-05-31 21:37:44+00:00,1531751808259002375,"Started watching Obi-Wan Kenobi highly recommended 👌 

#StarWars #ObiWan #Kenobi #DisneyPlus",RabWilson16
2022-05-31 21:35:13+00:00,1531751176105914368,Who are we to argue? #xmentas #xmen #disneyplus #marvel https://t.co/LfBO8j45yc,xmentas
2022-05-31 21:30:07+00:00,1531749891617263621,"Fans Call Disney's New Movie ""A Joke"", Blast First Trailer
https://t.co/XR2f9zmMKk

#Disney #Pixar  #Pinocchio #DisneyPlus #TomHanks https://t.co/wSREpLriXw",InsideTheMagic
2022-05-31 21:30:06+00:00,1531749888010047489,#TVNews #DisneyPlus #Hawkeye #Marvel Marvel Website Suggests ‘Hawkeye’ Will Return For Season 2 https://t.co/oTA8M4bpui,WebPassSocial
2022-05-31 21:30:00+00:00,1531749862550687748,"June is going to be a busy month for telly #DisneyPlus 

https://t.co/2rAUTkskQi",GeekIreland
2022-05-31 21:29:27+00:00,1531749723710930946,It’s just crazy and uncalled for #DisneyPlus #ObiWan https://t.co/vwJWwULAfE,Loveamira_
